428,44:11.824N,123:03.355W,107M,T,West Point,
429,44:48.741N,123:09.023W,45M,T,Wigrich,
430,44:35.907N,123:12.406W,64M,T,Winn,
431,45:07.741N,120:36.919W,768M,T,Compressor Stati,
432,47:18.550N,119:31.050W,404M,T,Ephrata Airport,
433,47:18.850N,119:31.490W,386M,T,Start Gate,
434,47:18.490N,119:30.950W,403M,T,Finish Gate,
435,48:06.300N,119:43.600W,299M,T,Anderson Airport,
436,46:56.417N,119:44.250W,375M,T,B & G Farms,
437,47:20.760N,119:43.030W,782M,T,Beezley Hills Ai,
438,47:01.900N,120:32.600W,526M,T,Bowers Airport,
439,47:30.500N,118:47.100W,529M,T,Canniual Creek,
440,47:30.900N,120:29.200W,302M,T,Cashmere-Dryden ,
441,47:51.800N,119:56.800W,689M,T,Chelan Airport,
442,46:39.700N,118:50.200W,257M,T,Connell Airport,
443,47:45.500N,118:30.300W,746M,T,Creston,
444,46:41.400N,119:55.500W,146M,T,Desert Air Airpo,
445,47:37.600N,119:19.800W,588M,T,Dry Falls Dam,
446,46:44.992N,118:25.065W,0M,T,Fisher Ranch,
447,47:55.100N,119:05.100W,496M,T,Grand Coulee Dam,
448,47:23.000N,118:18.000W,0M,T,Kramer Ranch,
449,46:58.500N,118:35.500W,491M,T,Lind Airport,
450,46:32.800N,118:32.300W,352M,T,Lower Monumental,
